filename,page,code,status,confidence,x,y,w,h,padded_x,padded_y,padded_w,padded_h,timestamp,retries,warnings
page3_unknown_158.png,3,,warning,70.0,2694,4992,243,251,2694,4992,243,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_164.png,3,,warning,70.0,1886,4993,243,251,1886,4993,243,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_182.png,3,,warning,70.0,4589,5336,243,251,4589,5336,243,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_188.png,3,,warning,70.0,5939,5337,243,251,5939,5337,243,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_088.png,3,,ok,100.0,6208,4051,246,247,6208,4051,246,247,1970-01-01T00:00:00Z,0,[]
page3_unknown_118.png,3,,ok,100.0,3780,4393,242,251,3780,4393,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_120.png,3,,ok,100.0,4319,4393,242,251,4319,4393,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_130.png,3,,ok,100.0,3777,4693,242,251,3777,4693,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_131.png,3,,ok,100.0,4321,4693,242,251,4321,4693,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_133.png,3,,ok,100.0,262,4695,242,251,262,4695,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_160.png,3,,ok,100.0,3238,4992,242,251,3238,4992,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_161.png,3,,ok,100.0,3509,4992,242,251,3509,4992,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_162.png,3,,ok,100.0,3776,4992,242,251,3776,4992,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_163.png,3,,ok,100.0,4048,4992,242,251,4048,4992,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_165.png,3,,ok,100.0,2154,4993,242,251,2154,4993,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_168.png,3,,ok,100.0,533,4994,242,251,533,4994,242,251,1970-01-01T00:00:00Z,0,[]
