filename,page,code,status,confidence,x,y,w,h,padded_x,padded_y,padded_w,padded_h,timestamp,retries,warnings
page4_unknown_201.png,4,,ok,100.0,2303,6704,455,945,2303,6704,455,945,1970-01-01T00:00:00Z,0,[]
page4_unknown_184.png,4,,ok,100.0,4911,6120,539,757,4911,6120,539,757,1970-01-01T00:00:00Z,0,[]
page4_unknown_193.png,4,,ok,100.0,2779,6174,867,456,2779,6174,867,456,1970-01-01T00:00:00Z,0,[]
page4_unknown_202.png,4,,ok,100.0,1772,6835,455,791,1772,6835,455,791,1970-01-01T00:00:00Z,0,[]
page4_unknown_196.png,4,,ok,100.0,5462,6242,540,613,5462,6242,540,613,1970-01-01T00:00:00Z,0,[]
page4_unknown_209.png,4,,warning,70.0,231,6973,475,650,231,6973,475,650,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_195.png,4,,ok,100.0,6000,6207,456,659,6000,6207,456,659,1970-01-01T00:00:00Z,0,[]
page4_unknown_204.png,4,,ok,100.0,745,6929,435,680,745,6929,435,680,1970-01-01T00:00:00Z,0,[]
page4_unknown_215.png,4,,ok,100.0,746,7615,409,706,746,7615,409,706,1970-01-01T00:00:00Z,0,[]
page4_unknown_018.png,4,,warning,70.0,1005,1169,523,551,1005,1169,523,551,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_222.png,4,,warning,70.0,259,7661,408,652,259,7661,408,652,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_224.png,4,,ok,100.0,6014,7683,435,609,6014,7683,435,609,1970-01-01T00:00:00Z,0,[]
page4_unknown_225.png,4,,ok,100.0,5518,7686,435,606,5518,7686,435,606,1970-01-01T00:00:00Z,0,[]
page4_unknown_211.png,4,,warning,70.0,5497,7054,475,547,5497,7054,475,547,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_212.png,4,,warning,70.0,5990,7056,475,547,5990,7056,475,547,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_192.png,4,,ok,100.0,2088,6176,744,344,2088,6176,744,344,1970-01-01T00:00:00Z,0,[]
page4_unknown_217.png,4,,ok,100.0,3312,7635,369,666,3312,7635,369,666,1970-01-01T00:00:00Z,0,[]
page4_unknown_205.png,4,,ok,100.0,4197,6938,368,666,4197,6938,368,666,1970-01-01T00:00:00Z,0,[]
page4_unknown_216.png,4,,ok,100.0,2849,7635,368,666,2849,7635,368,666,1970-01-01T00:00:00Z,0,[]
page4_unknown_218.png,4,,ok,100.0,3754,7636,368,665,3754,7636,368,665,1970-01-01T00:00:00Z,0,[]
page4_unknown_219.png,4,,ok,100.0,5086,7636,368,665,5086,7636,368,665,1970-01-01T00:00:00Z,0,[]
page4_unknown_206.png,4,,ok,100.0,3755,6948,368,662,3755,6948,368,662,1970-01-01T00:00:00Z,0,[]
page4_unknown_207.png,4,,ok,100.0,4647,6949,365,660,4647,6949,365,660,1970-01-01T00:00:00Z,0,[]
page4_unknown_237.png,4,,warning,70.0,234,8269,476,502,234,8269,476,502,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_213.png,4,,warning,70.0,1226,7093,475,503,1226,7093,475,503,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_238.png,4,,warning,70.0,5994,8315,475,503,5994,8315,475,503,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_199.png,4,,warning,70.0,232,6598,475,502,232,6598,475,502,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_200.png,4,,warning,70.0,1226,6704,475,502,1226,6704,475,502,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_208.png,4,,ok,100.0,5086,6966,360,639,5086,6966,360,639,1970-01-01T00:00:00Z,0,[]
page4_unknown_210.png,4,,warning,70.0,3293,7052,405,551,3293,7052,405,551,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_223.png,4,,ok,100.0,4203,7683,365,609,4203,7683,365,609,1970-01-01T00:00:00Z,0,[]
page4_unknown_079.png,4,,ok,100.0,1845,2634,405,531,1845,2634,405,531,1970-01-01T00:00:00Z,0,[]
page4_unknown_183.png,4,,warning,70.0,1697,6119,403,520,1697,6119,403,520,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_080.png,4,,warning,70.0,1462,2659,405,502,1462,2659,405,502,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_188.png,4,,ok,100.0,4496,6165,436,463,4496,6165,436,463,1970-01-01T00:00:00Z,0,[]
page4_unknown_076.png,4,,ok,100.0,6059,2637,381,523,6059,2637,381,523,1970-01-01T00:00:00Z,0,[]
page4_unknown_111.png,4,,warning,70.0,3753,3789,455,430,3753,3789,455,430,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_129.png,4,,warning,70.0,2219,4245,455,430,2219,4245,455,430,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_119.png,4,,warning,70.0,4127,3792,455,428,4127,3792,455,428,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_120.png,4,,warning,70.0,4509,3792,455,428,4509,3792,455,428,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_125.png,4,,warning,70.0,303,3793,455,428,303,3793,455,428,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_134.png,4,,warning,70.0,1837,4247,455,428,1837,4247,455,428,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page4_unknown_112.png,4,,warning,70.0,678,3792,454,428,678,3792,454,428,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
